car_name,model,mileage(Km),year,condition,price(₦)
Honda,Pilot,393449,2004,NigerianUsed,962000
Lexus,Es,164075,2004,ForeignUsed,1690000
Honda,Accord,103438,2013,ForeignUsed,4490000
Toyota,Venza,120935,2009,NigerianUsed,4602000
Toyota,Highlander,202467,2002,NigerianUsed,1970000
Toyota,Tundra,17353,2014,ForeignUsed,16250000
Toyota,Corolla,244977,2004,NigerianUsed,1914000
Skoda,Octavia,47901,2012,NigerianUsed,1130000
Land,Rover,29555,2014,NigerianUsed,17930000
Toyota,Camry,134585,2006,ForeignUsed,3146000
Toyota,Venza,192394,2009,NigerianUsed,4714000
Mercedes-Benz,C320,249791,2002,NigerianUsed,1578000
Lexus,Gx,36017,2016,ForeignUsed,29130000
Mercedes-Benz,Glk350,104115,2010,ForeignUsed,7290000
Toyota,Highlander,115094,2005,NigerianUsed,1914000
Toyota,4Runner,2632,1998,NigerianUsed,962000
Mercedes,Benz,133787,2004,ForeignUsed,1697500
Toyota,Corolla,142356,2003,NigerianUsed,1354000
Mercedes-Benz,E350,61181,2011,NigerianUsed,3818000
Toyota,Camry,106207,2011,ForeignUsed,3370000
Toyota,Corolla,120761,2009,NigerianUsed,1578000
Peugeot,206,99999,2001,NigerianUsed,626000
Kia,Rio,109581,2009,NigerianUsed,1074000
Toyota,Camry,111237,2005,NigerianUsed,1914000
Toyota,Camry,214479,2009,ForeignUsed,2597500
Honda,Pilot,200335,2005,NigerianUsed,794000
Toyota,Camry,189605,2004,NigerianUsed,1410000
Toyota,Corolla,29999,2004,NigerianUsed,1914000
Honda,Cr-V,134577,2007,NigerianUsed,1866250
Honda,Civic,3712,2013,ForeignUsed,5386000
Toyota,4Runner,99876,1998,NigerianUsed,906000
Lexus,Gs,169918,2005,NigerianUsed,1074000
Honda,Cr-V,181673,1998,NigerianUsed,682000
Hyundai,Sonata,141826,2011,ForeignUsed,2474000
Nissan,Altima,85022,2009,ForeignUsed,1466000
Honda,Cr-V,194019,2012,NigerianUsed,3594000
Mercedes-Benz,E350,145279,2006,ForeignUsed,2026000
Toyota,Camry,104209,2011,ForeignUsed,3500000
Audi,A6,294593,1999,NigerianUsed,682000
Toyota,Corolla,145666,2014,NigerianUsed,4378000
Mazda,Cx-7,131884,2008,NigerianUsed,1700000
Toyota,Camry,112398,2012,ForeignUsed,4826000
Mercedes-Benz,E350,60837,2010,ForeignUsed,8410000
Nissan,Qashqai,59956,2015,NigerianUsed,5610000
Mazda,Tribute,207468,2003,NigerianUsed,682000
Hyundai,Elantra,27021,2017,NigerianUsed,5050000
Lexus,Es,150620,2007,NigerianUsed,3370000
Land,Rover,69867,2005,NigerianUsed,1858000
Toyota,Camry,119376,2007,NigerianUsed,1354000
Nissan,Primera,81126,2005,NigerianUsed,1130000
Lexus,LS460,103864,2008,NigerianUsed,2810000
Mercedes-Benz,Ml350,174811,2006,NigerianUsed,3160000
Toyota,Sienna,207524,2004,NigerianUsed,1354000
Honda,Pilot,73719,2003,NigerianUsed,1130000
Ford,Ranger,157540,1997,NigerianUsed,682000
BMW,3,169872,2003,NigerianUsed,794000
Lexus,Es,84183,2010,NigerianUsed,4490000
Toyota,Camry,99883,2014,ForeignUsed,5050000
Lexus,Gx,88242,2005,NigerianUsed,3482000
Hyundai,Accent,166519,2012,NigerianUsed,1186000
Pontiac,Vibe,180120,2004,NigerianUsed,2026000
Land,Rover,109321,2006,NigerianUsed,2474000
Ford,Ecosport,86200,2014,NigerianUsed,3146000
Volkswagen,LT,173366,2003,NigerianUsed,2474000
Mercedes,MI350,100485,2006,NigerianUsed,3594000
Honda,Accord,101223,2010,ForeignUsed,3146000
Lexus,Rx,424925,2001,NigerianUsed,1466000
Toyota,Corolla,104388,2011,ForeignUsed,4042000
Acura,Rdx,99727,2014,ForeignUsed,7290000
Toyota,4Runner,60852,2003,NigerianUsed,1914000
Toyota,Corolla,121519,2005,NigerianUsed,1551250
Honda,Accord,222137,2006,NigerianUsed,1242000
Toyota,Camry,166287,2007,ForeignUsed,2866000
Hyundai,Santa,80731,2010,ForeignUsed,5050000
Mercedes-Benz,E350,57403,2014,NigerianUsed,10650000
Volkswagen,Tiguan,89435,2011,NigerianUsed,2026000
Mercedes-Benz,GL450,191442,2007,NigerianUsed,5050000
Toyota,4Runner,139447,2007,NigerianUsed,3258000
Mercedes,Benz,133433,2006,ForeignUsed,1690000
Mazda,3,248669,2009,ForeignUsed,3146000
Toyota,Rav4,218940,2007,NigerianUsed,2474000
Mercedes-Benz,C280,327889,2007,NigerianUsed,2250000
Toyota,CAMRY,104558,2012,NigerianUsed,3370000
Toyota,Camry,238665,2002,NigerianUsed,1354000
Toyota,Corolla,96826,2005,ForeignUsed,2810000
Mercedes-Benz,Ml350,223771,2006,NigerianUsed,3146000
Toyota,Camry,71672,2007,NigerianUsed,2250000
Toyota,Camry,230256,2002,NigerianUsed,1298000
Toyota,Venza,75218,2012,ForeignUsed,7850000
Mercedes-Benz,Ml320,111991,2000,NigerianUsed,1130000
Toyota,Camry,189986,2008,NigerianUsed,2026000
Honda,Ridgeline,168909,2008,NigerianUsed,3034000
Volkswagen,Touareg,302858,2006,ForeignUsed,4266000
Lexus,Es,221612,2007,NigerianUsed,3146000
Toyota,Camry,319298,2009,ForeignUsed,3202000
Mercedes-Benz,GL450,144784,2007,NigerianUsed,4266000
Honda,City,132621,2004,NigerianUsed,738000
Toyota,Camry,159006,2009,NigerianUsed,2138000
