make,mileage(Km),year,condition,price(₦)
 Toyota Camry,75888,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Mercedes-Benz E350,110436,2011, Foreign Used  ," 6,170,000                                        
                                    "
 Land Rover Lr3,97332,2005, Nigerian Used  ," 2,026,000                                        
                                    "
 Honda Accord,82084,2010, Nigerian Used  ," 2,026,000                                        
                                    "
 Chevrolet Optra,134080,2009, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Corolla,270680,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Avensis,168447,2006, Foreign Used  ," 1,802,000                                        
                                    "
 Lexus Rx 350,146929,2007, Nigerian Used  ," 4,042,000                                        
                                    "
 Toyota Corolla,250845,2004, Nigerian Used  ," 1,914,000                                        
                                    "
 Honda Accord,150803,1998, Nigerian Used  ," 682,000                                        
                                    "
 Toyota Sienna,198548,2004, Nigerian Used  ," 1,242,000                                        
                                    "
 Toyota Sienna,84785,2009, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Venza,104350,2013, Nigerian Used  ," 4,602,000                                        
                                    "
 Toyota Sienna,124042,2011, Nigerian Used  ," 4,266,000                                        
                                    "
 Toyota Highlander,38411,2012, Nigerian Used  ," 11,210,000                                        
                                    "
 Mercedes-Benz C200 KOMPRESSOR,72811,2008, Nigerian Used  ," 1,802,000                                        
                                    "
Lexus Rx 400h ,182680,2006, Nigerian Used  ," 2,586,000                                        
                                    "
 Mercedes-Benz C250,145284,2012, Foreign Used  ," 6,730,000                                        
                                    "
 Honda City,155890,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Matrix,209500,2004, Nigerian Used  ," 1,522,000                                        
                                    "
 Toyota Corolla,236697,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Hyundai Tucson,20421,2019, Nigerian Used  ," 11,210,000                                        
                                    "
 Mercedes-Benz C350,121195,2008, Nigerian Used  ," 3,146,000                                        
                                    "
 Mercedes Benz GLE,107525,2017, Foreign Used  ," 31,370,000                                        
                                    "
 Peugeot 406,172268,2003, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Camry,254441,1997, Nigerian Used  ," 682,000                                        
                                    "
 Toyota Fj Cruiser,98405,2007, Nigerian Used  ," 3,930,000                                        
                                    "
 Toyota Camry,141859,2004, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Corolla,14372,2017, Foreign Used  ," 6,506,000                                        
                                    "
 Mercedes-Benz C250,57309,2014, Foreign Used  ," 6,730,000                                        
                                    "
 Toyota Camry,93616,2006, Nigerian Used  ," 1,354,000                                        
                                    "
 Honda Civic,300902,2001, Nigerian Used  ," 682,000                                        
                                    "
 Toyota Corolla,167911,2005, Nigerian Used  ," 1,578,000                                        
                                    "
 BMW 5 Series,163194,2008, Foreign Used  ," 4,266,000                                        
                                    "
 Volkswagen Passat,147036,2008, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Camry,178991,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Lexus Rx 330,179668,2005, Nigerian Used  ," 2,810,000                                        
                                    "
 Honda Accord,159936,2001, Nigerian Used  ," 536,400                                        
                                    "
 Peugeot 206,85141,2003, Nigerian Used  ," 1,410,000                                        
                                    "
 BMW 5 Series,312824,2003, Nigerian Used  ," 1,186,000                                        
                                    "
 Land Rover Range Rover HSE,127165,2011, Foreign Used  ," 9,754,000                                        
                                    "
 Kia Rio,41178,2014, Nigerian Used  ," 2,138,000                                        
                                    "
 Toyota Camry,115093,2012, Nigerian Used  ," 3,482,000                                        
                                    "
 Toyota Camry,136684,2007, Nigerian Used  ," 2,138,000                                        
                                    "
 Volvo Xc90,237158,2005, Nigerian Used  ," 1,264,400                                        
                                    "
 Lexus Rx 350,39496,2016, Nigerian Used  ," 12,330,000                                        
                                    "
 Lexus Rx 330,143021,2004, Nigerian Used  ," 2,586,000                                        
                                    "
 Honda Jazz,219653,2005, Nigerian Used  ," 1,354,000                                        
                                    "
 Jeep Compass,173790,2007, Foreign Used  ," 2,250,000                                        
                                    "
 Mercedes-Benz E500,55310,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Volkswagen TRANSP SHUTTLE,312471,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 TOYOTA Camry,271519,2001, Nigerian Used  ," 850,000                                        
                                    "
 Toyota Camry,233081,2004, Nigerian Used  ," 1,410,000                                        
                                    "
 Kia Sportage,96089,2012, Nigerian Used  ," 4,154,000                                        
                                    "
 Infiniti Qx,277566,1999, Nigerian Used  ," 570,000                                        
                                    "
 Lexus Rx 300,144561,2000, Nigerian Used  ," 1,757,200                                        
                                    "
 Toyota Highlander,241359,2005, Nigerian Used  ," 2,306,000                                        
                                    "
 Toyota Venza,139308,2010, Nigerian Used  ," 5,050,000                                        
                                    "
 Lexus Rx 350,138387,2008, Nigerian Used  ," 3,034,000                                        
                                    "
 Honda Accord,64469,2015, Nigerian Used  ," 5,106,000                                        
                                    "
 Ford Edge,99323,2008, Nigerian Used  ," 1,914,000                                        
                                    "
Ford Focus ,12678,1999, Foreign Used  ," 1,522,000                                        
                                    "
 Volkswagen Passat,90171,2006, Nigerian Used  ," 1,018,000                                        
                                    "
Lexus Rx 300 ,219213,2000, Nigerian Used  ," 1,466,000                                        
                                    "
 Lexus GS 350,143692,2007, Nigerian Used  ," 2,474,000                                        
                                    "
Land Rover RANGE ROVER,94428,0000, Nigerian Used  ," 2,922,000                                        
                                    "
 Chevrolet Trax,44879,2015, Foreign Used  ," 6,506,000                                        
                                    "
 Kia Soul,172520,2011, Foreign Used  ," 2,922,000                                        
                                    "
 Hyundai Elantra,77338,2011, Foreign Used  ," 3,482,000                                        
                                    "
 Mazda Cx-7,146586,2011, Foreign Used  ," 4,378,000                                        
                                    "
 Renault Scenic,1,2003, Nigerian Used  ," 458,000                                        
                                    "
 Toyota Venza,124630,2009, Nigerian Used  ," 4,322,000                                        
                                    "
 Toyota Sienna,104854,2004, Nigerian Used  ," 1,466,000                                        
                                    "
 Ford Explorer,99924,2014, Nigerian Used  ," 3,706,000                                        
                                    "
 Lexus Rx 330,200241,2004, Nigerian Used  ," 2,754,000                                        
                                    "
 Toyota Corolla,318417,2009, New  ," 1,802,000                                        
                                    "
 Mercedes-Benz Ml350,155453,2006, Nigerian Used  ," 3,370,000                                        
                                    "
 Ford Focus,347567,2001, Nigerian Used  ," 592,400                                        
                                    "
 Peugeot 307,99152,2007, Nigerian Used  ," 738,000                                        
                                    "
 Land Rover Range Rover Vogue,151210,2007, Foreign Used  ," 4,490,000                                        
                                    "
 Mercedes-Benz E200,999999,1990, Nigerian Used  ," 458,000                                        
                                    "
 Honda Accord,99999,2004, Nigerian Used  ," 850,000                                        
                                    "
 Toyota Rav4,146182,2009, Nigerian Used  ," 2,026,000                                        
                                    "
 Lexus Rx 350,152386,2008, Foreign Used  ," 4,490,000                                        
                                    "
 Kia Sportage,23915,2010, Nigerian Used  ," 2,250,000                                        
                                    "
 Mercedes-Benz GLK 350,125206,2014, Nigerian Used  ," 6,842,000                                        
                                    "
 Dodge Journey,70139,2015, Nigerian Used  ," 5,050,000                                        
                                    "
 Lexus Es,73643,2007, Foreign Used  ," 4,098,000                                        
                                    "
 BMW X1,136590,2014, Foreign Used  ," 8,410,000                                        
                                    "
 Toyota Sienna,232320,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Rav4,65504,2017, Foreign Used  ," 11,658,000                                        
                                    "
 Peugeot 807,742383,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Ssangyong Rexton,121282,2008, Nigerian Used  ," 1,130,000                                        
                                    "
 Land Rover Range Rover Vogue,65965,2008, Nigerian Used  ," 5,050,000                                        
                                    "
 Toyota Tundra,148835,2007, Nigerian Used  ," 7,850,000                                        
                                    "
 Kia Carens,298445,2002, Nigerian Used  ," 491,600                                        
                                    "
 Mercedes-Benz Ml350,164059,2013, Nigerian Used  ," 12,330,000                                        
                                    "
 Mercedes-Benz C300,109027,2011, Foreign Used  ," 4,938,000                                        
                                    "
