,car_name,model,Mileage,Year,Condition,Price
2457,20,190,74479.0,2013,0,7015000
2458,20,78,116368.2,2010,0,4865000
2459,20,97,134462.0,2008,0,2815000
2460,20,190,20820.0,2016,0,15015000
2461,20,259,69601.0,2012,2,25015000
2462,11,146,82310.0,2010,0,3515000
2463,12,168,250414.9,2005,0,5815000
2464,12,211,31504.0,2017,2,42515000
2465,12,120,370921.0,2007,0,4415000
2466,12,120,194550.0,2008,0,4645000
2467,20,309,68326.0,2011,0,5515000
2468,1,265,201050.0,2008,0,5685000
2469,12,279,118888.0,2007,0,5115000
2470,12,279,137471.0,2010,0,7765000
2471,14,54,857506.0,2010,0,5315000
2472,12,120,72443.0,2011,0,50015000
2473,20,190,68453.0,2013,0,5015000
2474,12,279,57451.0,2004,0,7115000
2475,14,166,165901.0,2012,0,4815000
2476,20,309,68208.0,2012,0,8515000
2477,12,279,203162.0,2010,0,7615000
2478,12,279,109763.4,2013,0,3515000
2479,14,223,243717.0,2012,0,4215000
2480,20,275,83554.0,2013,0,4865000
2481,20,97,63380.0,2016,0,8815000
2482,8,301,146372.0,2013,0,8515000
2483,12,120,98219.0,2013,0,9015000
2484,20,190,48415.0,2016,0,13515000
2485,14,54,91406.0,2014,0,13015000
2486,14,54,48013.0,2015,0,13015000
2487,20,78,72283.0,2012,0,5015000
2488,12,211,35751.0,2011,0,30015000
2489,20,214,52310.0,2011,0,14515000
2490,18,358,193892.0,2006,0,2515000
2491,20,78,282613.0,2006,0,2797500
2492,20,97,71584.0,2015,0,6515000
2493,20,78,112019.0,2012,0,5680000
2494,20,78,98697.0,2015,0,8770000
2495,20,190,106800.0,2013,0,9285000
2496,12,211,21204.0,2018,0,6215000
2497,20,78,140309.0,2013,0,9315000
2498,20,355,172709.0,2013,0,4765000
2499,14,54,114936.0,2010,0,8265000
2500,20,215,123938.5,2012,0,8265000
2501,20,355,96091.0,2013,0,8265000
2502,20,78,75422.0,2009,0,10725000
2503,0,222,221505.0,2009,0,11315000
2504,20,78,176996.0,2012,0,4865000
2505,20,190,74479.0,2013,0,8815000
2506,20,78,116368.2,2010,0,4865000
2507,20,97,134462.0,2008,0,2815000
2508,20,190,20820.0,2016,0,15015000
2509,20,259,69601.0,2012,2,25015000
2510,11,146,82310.0,2010,0,3515000
2511,12,168,250414.9,2005,0,5815000
2512,12,211,31504.0,2017,2,42515000
2513,12,120,370921.0,2007,0,4415000
2514,12,120,194550.0,2008,0,4645000
2515,20,309,68326.0,2011,0,5515000
2516,1,265,201050.0,2008,0,5685000
2517,12,279,118888.0,2007,0,5115000
2518,12,279,137471.0,2010,0,7765000
2519,14,54,857506.0,2010,0,5315000
2520,12,120,72443.0,2011,0,50015000
2521,20,190,68453.0,2013,0,5015000
2522,12,279,57451.0,2004,0,7115000
2523,14,166,165901.0,2012,0,4815000
