,car_name,model,Mileage,Year,Condition,Price
5675,toyota,Corolla,134462.0,2008,Foreign Used,2815000
5676,toyota,Highlander,20820.0,2016,Foreign Used,15015000
5677,toyota,Prado,69601.0,2012,Nigerian Used,25015000
5678,kia,Forte,82310.0,2010,Foreign Used,3515000
5679,lexus,GX,250414.9,2005,Foreign Used,5815000
5680,lexus,LX,31504.0,2017,Nigerian Used,42515000
5681,lexus,ES,370921.0,2007,Foreign Used,4415000
5682,lexus,ES,194550.0,2008,Foreign Used,4645000
5683,toyota,Sienna,68326.0,2011,Foreign Used,5515000
5684,audi,Q7,201050.0,2008,Foreign Used,5685000
5685,lexus,RX,118888.0,2007,Foreign Used,5115000
5686,lexus,RX,137471.0,2010,Foreign Used,7765000
5687,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
5688,lexus,ES,72443.0,2011,Foreign Used,50015000
5689,toyota,Highlander,68453.0,2013,Foreign Used,5015000
5690,lexus,RX,57451.0,2004,Foreign Used,7115000
5691,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
5692,toyota,Sienna,68208.0,2012,Foreign Used,8515000
5693,lexus,RX,203162.0,2010,Foreign Used,7615000
5694,lexus,RX,109763.4,2013,Foreign Used,3515000
5695,mercedes-benz,ML,243717.0,2012,Foreign Used,4215000
5696,toyota,RAV,83554.0,2013,Foreign Used,8015000
5697,toyota,Corolla,63380.0,2016,Foreign Used,7015000
5698,hyundai,Santa,146372.0,2013,Foreign Used,8515000
5699,lexus,ES,98219.0,2013,Foreign Used,9015000
5700,toyota,Highlander,48415.0,2016,Foreign Used,13515000
5701,mercedes-benz,C,91406.0,2014,Foreign Used,13015000
5702,mercedes-benz,C,48013.0,2015,Foreign Used,13015000
5703,toyota,Camry,72283.0,2012,Foreign Used,5015000
5704,lexus,LX,35751.0,2011,Foreign Used,30015000
5705,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
5706,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
5707,toyota,Camry,282613.0,2006,Foreign Used,2797500
5708,toyota,Corolla,71584.0,2015,Foreign Used,6515000
5709,toyota,Camry,112019.0,2012,Foreign Used,5680000
5710,toyota,Camry,98697.0,2015,Foreign Used,8770000
5711,toyota,Highlander,106800.0,2013,Foreign Used,9285000
5712,lexus,LX,21204.0,2018,Foreign Used,6215000
5713,toyota,Camry,140309.0,2013,Foreign Used,9315000
5714,toyota,Venza,172709.0,2013,Foreign Used,4765000
5715,mercedes-benz,C,114936.0,2010,Foreign Used,8265000
5716,toyota,Lexus,123938.5,2012,Foreign Used,8265000
5717,toyota,Venza,96091.0,2013,Foreign Used,8265000
5718,toyota,Camry,75422.0,2009,Foreign Used,3515000
5719,acura,MDX,221505.0,2009,Foreign Used,4215000
5720,toyota,Camry,176996.0,2012,Foreign Used,4865000
5721,toyota,Highlander,74479.0,2013,Foreign Used,8815000
5722,toyota,Camry,116368.2,2010,Foreign Used,4865000
5723,toyota,Corolla,134462.0,2008,Foreign Used,2815000
5724,toyota,Highlander,20820.0,2016,Foreign Used,15015000
